iter,steps,eta_train,eta_val,loss,epsilon,sps,elapsed_s
0,305,0.00935,0.0175,0.969706,1.0,89.91,3.4
1,479,0.01325,,0.416344,0.9889,270.44,4.0
2,545,0.03448,,0.168868,0.9778,247.06,4.3
3,584,0.0,,0.153467,0.9667,256.57,4.5
4,701,0.0,,0.11972,0.9556,278.55,4.9
5,809,0.0,,0.134321,0.9444,316.63,5.2
6,1036,0.00901,,0.172388,0.9333,319.43,5.9
7,1538,0.0,,0.104193,0.9222,344.27,7.4
8,1702,0.0,,0.127515,0.9111,263.59,8.0
9,1931,0.0,,0.073105,0.9,311.75,8.8
10,2207,0.0,0.0075,0.058823,0.8889,78.13,12.3
11,2263,0.0,,0.112122,0.8778,241.99,12.5
12,2544,0.00571,,0.168653,0.8667,294.44,13.5
13,3072,0.01015,,0.065266,0.8556,315.09,15.2
14,3199,0.00877,,0.076957,0.8444,301.43,15.6
15,3299,0.0,,0.110175,0.8333,263.83,16.0
16,3498,0.05357,,0.057711,0.8222,292.93,16.7
17,4089,0.07937,,0.046082,0.8111,323.42,18.5
18,4116,0.0,,0.027721,0.8,247.78,18.6
19,4133,0.0,,0.131569,0.7889,246.37,18.7
20,4551,0.06849,0.0625,0.106239,0.7778,99.9,22.9
21,5494,0.22872,,0.075168,0.7667,331.55,25.7
22,5655,0.01176,,0.050075,0.7556,306.05,26.2
23,5776,0.04762,,0.049708,0.7444,315.29,26.6
24,6110,0.09244,,0.033794,0.7333,307.16,27.7
25,6186,0.075,,0.027725,0.7222,260.67,28.0
26,6655,0.17273,,0.017352,0.7111,321.52,29.5
27,6752,0.0,,0.037809,0.7,274.57,29.8
28,6954,0.00649,,0.055613,0.6889,295.54,30.5
29,7048,0.0,,0.063664,0.6778,267.5,30.9
30,7432,0.175,0.09999999999999999,0.022852,0.6667,93.75,35.0
31,7515,0.08,,0.021452,0.6556,287.75,35.3
32,7804,0.06533,,0.017111,0.6444,287.55,36.3
33,7871,0.0,,0.032565,0.6333,252.95,36.5
34,8247,0.16304,,0.014932,0.6222,318.16,37.7
