iter,steps,eta_train,eta_val,loss,epsilon,sps,elapsed_s
0,164,0.28333,0.51,-0.252075,1.0,32.21,5.1
1,766,0.3587,,0.791638,0.9889,313.44,7.0
2,807,0.03704,,-0.475769,0.9778,247.95,7.2
3,1454,0.36686,,1.089364,0.9667,325.27,9.2
4,1828,0.18548,,0.525647,0.9556,315.77,10.4
5,2148,0.17391,,0.145698,0.9444,324.35,11.4
6,2386,0.09239,,-0.319739,0.9333,299.77,12.2
7,2530,0.05714,,-0.384477,0.9222,291.44,12.6
8,2591,0.28,,-0.293987,0.9111,233.62,12.9
9,2695,0.07353,,-0.202387,0.9,271.8,13.3
10,3044,0.5,0.475,0.774506,0.8889,63.89,18.8
11,3165,0.10294,,-0.061594,0.8778,270.21,19.2
12,3840,0.34343,,0.796873,0.8667,318.47,21.3
13,4290,0.368,,0.939801,0.8556,319.07,22.8
14,4771,0.46512,,1.31834,0.8444,319.8,24.3
15,5453,0.64331,,1.105737,0.8333,324.44,26.4
16,5933,0.2284,,-0.050173,0.8222,307.32,27.9
17,6199,0.18919,,-0.370757,0.8111,285.45,28.9
18,6473,0.15068,,-0.078763,0.8,305.96,29.8
19,6788,0.24409,,-0.019056,0.7889,301.87,30.8
20,6963,0.31034,0.475,0.29082,0.7778,34.7,35.9
21,7280,0.18182,,-0.027415,0.7667,311.42,36.9
22,7726,0.34146,,0.306783,0.7556,318.29,38.3
23,7960,0.2125,,0.290492,0.7444,300.27,39.1
24,8469,0.22727,,0.140442,0.7333,318.66,40.7
25,8736,0.17355,,-0.08602,0.7222,301.9,41.6
26,8991,0.16505,,-0.183655,0.7111,308.41,42.4
27,9456,0.21023,,-0.041804,0.7,298.99,43.9
28,9713,0.1118,,0.00935,0.6889,303.62,44.8
29,10420,0.60714,,0.997497,0.6778,317.8,47.0
30,10569,0.1,0.375,-0.055155,0.6667,32.84,51.6
31,10944,0.20915,,0.11491,0.6556,306.03,52.8
32,11078,0.15,,0.019503,0.6444,284.0,53.3
33,11265,0.14706,,0.066095,0.6333,298.45,53.9
34,11533,0.13636,,-0.217201,0.6222,287.33,54.8
35,12001,0.24503,,-0.132111,0.6111,292.85,56.4
36,12136,0.16216,,-0.193951,0.6,296.52,56.9
37,12329,0.15,,-0.216309,0.5889,298.25,57.5
38,12644,0.26042,,0.193328,0.5778,291.69,58.6
39,12785,0.16,,-0.05916,0.5667,280.59,59.1
40,12899,0.00549,0.41999999999999993,0.296816,0.5556,24.71,63.7
41,13011,0.03704,,0.462413,0.5444,279.07,64.1
