epoch,completion_rate
2,0.17441860463088157
7,0.2441860464832342
12,0.2325581395078421
17,0.18604651160627367
22,0.2325581395078421
2,0.2441860464832342
7,0.22093023253244998
12,0.20930232555705788
17,0.20930232555705788
22,0.2441860464832342
27,0.2558139534586263
32,0.15116279068009736
37,0.20930232555705788
42,0.2325581395078421
47,0.20930232555705788
52,0.2325581395078421
57,0.2441860464832342
62,0.22093023253244998
67,0.18604651160627367
72,0.31395348833558684
77,0.17441860463088157
82,0.2325581395078421
87,0.27906976740941053
92,0.20930232555705788
97,0.2441860464832342
102,0.17441860463088157
107,0.27906976740941053
112,0.1976744185816658
117,0.2441860464832342
122,0.1976744185816658
127,0.20930232555705788
132,0.3023255813601947
137,0.2558139534586263
142,0.2674418604340184
147,0.2906976743848026
152,0.2325581395078421
157,0.3255813953109789
162,0.2558139534586263
167,0.22093023253244998
172,0.2674418604340184
177,0.27906976740941053
182,0.2674418604340184
187,0.2906976743848026
192,0.2674418604340184
197,0.22093023253244998
202,0.27906976740941053
207,0.3023255813601947
212,0.18604651160627367
217,0.20930232555705788
222,0.1976744185816658
227,0.22093023253244998
232,0.2674418604340184
237,0.20930232555705788
242,0.2325581395078421
247,0.2906976743848026
252,0.20930232555705788
257,0.2325581395078421
262,0.2558139534586263
267,0.16279069765548945
272,0.22093023253244998
277,0.2325581395078421
282,0.2558139534586263
287,0.2558139534586263
292,0.2558139534586263
297,0.27906976740941053
302,0.2325581395078421
307,0.3255813953109789
312,0.27906976740941053
317,0.2325581395078421
322,0.20930232555705788
327,0.20930232555705788
332,0.2325581395078421
337,0.27906976740941053
342,0.2558139534586263
347,0.2325581395078421
352,0.18604651160627367
357,0.2906976743848026
362,0.2325581395078421
367,0.3023255813601947
372,0.2441860464832342
377,0.20930232555705788
382,0.2441860464832342
387,0.2441860464832342
392,0.27906976740941053
397,0.2558139534586263
402,0.2325581395078421
407,0.2441860464832342
412,0.20930232555705788
417,0.3023255813601947
422,0.2441860464832342
427,0.2674418604340184
432,0.2558139534586263
437,0.27906976740941053
442,0.2674418604340184
447,0.22093023253244998
452,0.2906976743848026
457,0.22093023253244998
462,0.2441860464832342
467,0.27906976740941053
472,0.18604651160627367
477,0.27906976740941053
482,0.2558139534586263
487,0.2325581395078421
492,0.2674418604340184
497,0.20930232555705788
502,0.2325581395078421
507,0.2441860464832342
512,0.2674418604340184
517,0.2906976743848026
522,0.2674418604340184
527,0.2325581395078421
532,0.2558139534586263
537,0.27906976740941053
542,0.2441860464832342
547,0.31395348833558684
552,0.2441860464832342
557,0.2441860464832342
562,0.2674418604340184
567,0.2325581395078421
572,0.2558139534586263
577,0.18604651160627367
582,0.22093023253244998
587,0.22093023253244998
592,0.2441860464832342
597,0.22093023253244998
602,0.1976744185816658
607,0.2906976743848026
612,0.2906976743848026
617,0.2674418604340184
622,0.31395348833558684
627,0.1976744185816658
632,0.2906976743848026
637,0.22093023253244998
642,0.20930232555705788
647,0.27906976740941053
652,0.2441860464832342
657,0.2441860464832342
662,0.3255813953109789
667,0.20930232555705788
672,0.17441860463088157
677,0.2441860464832342
682,0.2558139534586263
687,0.2674418604340184
692,0.1976744185816658
697,0.22093023253244998
702,0.2325581395078421
707,0.2558139534586263
712,0.2674418604340184
717,0.2441860464832342
722,0.2325581395078421
727,0.2441860464832342
732,0.2325581395078421
737,0.2674418604340184
742,0.2558139534586263
747,0.2558139534586263
752,0.2674418604340184
757,0.2441860464832342
762,0.17441860463088157
767,0.2558139534586263
772,0.20930232555705788
777,0.20930232555705788
782,0.2906976743848026
787,0.2674418604340184
792,0.2674418604340184
797,0.2325581395078421
802,0.22093023253244998
2,0.2558139534586263
2,0.13953488370470526
7,0.2558139534586263
12,0.22093023253244998
17,0.18604651160627367
22,0.2441860464832342
27,0.18604651160627367
32,0.2441860464832342
37,0.1976744185816658
42,0.20930232555705788
