iter,steps,eta_train,eta_val,loss,epsilon,sps,elapsed_s
0,82,0.13208,0.25,-0.499718,1.0,22.06,3.7
1,507,0.54902,,0.834075,0.9889,313.84,5.1
2,854,0.23881,,0.4059,0.9778,320.36,6.2
3,862,0.0,,-0.470639,0.9667,258.33,6.2
4,988,0.02041,,-0.461938,0.9556,284.8,6.6
5,1436,0.56481,,0.424834,0.9444,325.77,8.0
6,1671,0.23256,,-0.442984,0.9333,297.85,8.8
7,1838,0.02609,,-0.431693,0.9222,292.5,9.4
8,2310,0.22043,,-0.349382,0.9111,305.49,10.9
9,2430,0.51724,,0.729633,0.9,281.09,11.4
10,2512,0.03252,0.25,0.728487,0.8889,22.33,15.0
11,2731,0.06667,,0.650784,0.8778,301.16,15.8
12,3046,0.17699,,-0.231256,0.8667,294.36,16.8
13,3422,0.3945,,0.53653,0.8556,307.25,18.1
14,3490,0.17241,,0.386853,0.8444,240.95,18.4
15,3568,0.01198,,0.05199,0.8333,264.27,18.7
16,3720,0.63636,,0.733511,0.8222,297.83,19.2
17,3785,0.08571,,-0.444897,0.8111,235.81,19.4
18,4096,0.15228,,-0.059765,0.8,326.31,20.4
19,4680,0.26943,,-0.42315,0.7889,313.21,22.3
20,4854,0.14815,0.215,-0.458457,0.7778,45.78,26.1
21,5184,0.0733,,-0.185686,0.7667,312.14,27.1
22,5592,0.1958,,-0.163389,0.7556,300.0,28.5
23,5861,0.14912,,-0.231998,0.7444,292.79,29.4
24,6131,0.21649,,0.772032,0.7333,308.49,30.3
25,6212,0.10638,,0.662773,0.7222,247.28,30.6
26,6301,0.10417,,0.822365,0.7111,254.62,31.0
27,6634,0.16168,,0.95378,0.7,327.08,32.0
28,7076,0.32824,,1.342055,0.6889,307.57,33.4
29,7507,0.19126,,0.913284,0.6778,314.05,34.8
30,7641,0.15789,0.18,0.803333,0.6667,37.02,38.4
31,7797,0.29412,,0.501219,0.6556,290.67,39.0
32,7868,0.01515,,-0.072527,0.6444,250.8,39.3
33,8141,0.10884,,-0.249033,0.6333,304.92,40.2
34,8319,0.125,,-0.231879,0.6222,285.9,40.8
35,8401,0.07018,,-0.377713,0.6111,263.98,41.1
36,8698,0.31313,,-0.039556,0.6,303.17,42.1
37,8969,0.49206,,0.250555,0.5889,304.67,43.0
38,9396,0.14872,,-0.334448,0.5778,307.93,44.4
39,9692,0.08974,,-0.103076,0.5667,285.82,45.4
40,10315,0.45912,0.225,0.707387,0.5556,117.65,50.7
41,10516,0.38889,,0.070626,0.5444,299.16,51.4
42,10872,0.14184,,-0.097248,0.5333,312.14,52.5
43,11188,0.39535,,0.71349,0.5222,304.67,53.6
44,11344,0.01379,,0.081201,0.5111,299.43,54.1
45,11700,0.13793,,0.040332,0.5,307.52,55.2
46,11765,0.0,,0.159871,0.4889,249.86,55.5
47,12235,0.24852,,0.137997,0.4778,303.5,57.1
48,12594,0.29524,,-0.112161,0.4667,305.21,58.2
49,12841,0.20213,,-0.285527,0.4556,307.95,59.0
50,12994,0.70588,0.21000000000000002,1.175519,0.4444,41.52,62.7
51,13263,0.10949,,-0.42505,0.4333,315.76,63.6
52,13400,0.47222,,0.102392,0.4222,268.89,64.1
53,13497,0.14894,,-0.592419,0.4111,256.84,64.5
54,13599,0.03571,,-0.516566,0.4,281.81,64.8
55,13799,0.13393,,-0.397951,0.3889,312.64,65.5
56,13885,0.08889,,-0.518232,0.3778,259.72,65.8
57,14619,0.68047,,0.710198,0.3667,325.11,68.1
58,14703,0.41667,,0.124511,0.3556,259.24,68.4
59,14792,0.05085,,-0.371297,0.3444,269.7,68.7
60,14995,0.21667,0.23499999999999996,-0.554343,0.3333,52.98,72.6
61,15054,0.06897,,-0.355702,0.3222,241.27,72.8
62,15343,0.70492,,1.261472,0.3111,320.1,73.7
63,15441,0.12727,,0.151193,0.3,273.91,74.1
64,15571,0.08861,,0.271104,0.2889,283.18,74.5
65,15675,0.39286,,0.548781,0.2778,277.67,74.9
66,15875,0.15854,,-0.126346,0.2667,302.5,75.6
67,16196,0.11613,,-0.138544,0.2556,313.34,76.6
68,16489,0.19672,,0.217107,0.2444,312.08,77.6
69,16847,0.40426,,0.416812,0.2333,316.81,78.7
70,16883,0.0,0.2125,0.278648,0.2222,10.32,82.2
71,17486,0.42169,,0.287369,0.2111,323.22,84.1
72,17775,0.27059,,-0.368028,0.2,304.17,85.0
73,17851,0.03922,,-0.508269,0.1889,252.62,85.3
74,17996,0.55556,,0.253967,0.1778,258.44,85.9
75,18263,0.35556,,-0.17199,0.1667,312.29,86.7
76,18865,0.30526,,-0.198944,0.1556,307.82,88.7
77,19665,0.53191,,0.220457,0.1444,323.3,91.2
78,20299,0.54902,,0.278023,0.1333,329.28,93.1
79,20808,0.3806,,-0.132174,0.1222,316.98,94.7
80,20893,0.10638,0.21000000000000002,-0.364196,0.1111,23.55,98.3
81,21097,0.18987,,-0.327628,0.1,301.19,99.0
82,21306,0.29577,,-0.246388,0.0889,295.43,99.7
83,21481,0.10843,,-0.246123,0.0778,295.53,100.3
84,21678,0.08392,,-0.270892,0.0667,302.23,101.0
85,21754,0.05769,,-0.179895,0.0556,256.62,101.3
86,22026,0.4,,0.977246,0.05,302.48,102.2
87,22504,0.17877,,0.502345,0.05,303.82,103.7
88,23159,0.32979,,0.850439,0.05,321.73,105.8
89,23294,0.00617,,0.59562,0.05,287.65,106.2
90,23487,0.11628,0.2325,0.182689,0.05,48.47,110.2
91,23660,0.16418,,0.617604,0.05,279.6,110.9
92,24128,0.32857,,0.683477,0.05,309.02,112.4
93,24782,0.65772,,1.189176,0.05,324.67,114.4
94,25068,0.13534,,-0.114706,0.05,303.48,115.3
95,25193,0.07092,,0.054429,0.05,299.87,115.8
96,25564,0.30357,,-0.132216,0.05,305.03,117.0
97,25658,0.05455,,-0.232055,0.05,266.84,117.3
98,25840,0.02174,,-0.348396,0.05,307.65,117.9
99,25971,0.05128,,-0.054275,0.05,290.23,118.4
100,26131,0.82353,0.2725,1.773813,0.05,40.36,122.3
101,26205,0.17857,,-0.301392,0.05,248.39,122.6
102,26377,0.16456,,-0.423224,0.05,271.25,123.3
103,26741,0.24194,,-0.016348,0.05,313.55,124.4
104,26806,0.0,,0.254639,0.05,249.72,124.7
105,27072,0.04023,,-0.061146,0.05,311.2,125.6
106,27914,0.60714,,1.22197,0.05,321.67,128.2
107,28007,0.52174,,1.613082,0.05,261.46,128.5
108,28195,0.27119,,0.266237,0.05,285.68,129.2
109,28611,0.20497,,0.405349,0.05,319.94,130.5
110,29076,0.22222,0.34249999999999997,0.196014,0.05,88.98,135.7
111,29483,0.16931,,-0.035569,0.05,298.21,137.1
112,29625,0.42857,,0.54873,0.05,277.5,137.6
113,30172,0.3557,,-0.203543,0.05,305.61,139.4
114,30269,0.19512,,-0.012865,0.05,265.66,139.8
115,30645,0.69767,,0.829547,0.05,327.41,140.9
116,30691,0.2381,,-0.17982,0.05,231.38,141.1
117,31160,0.48333,,0.23931,0.05,315.65,142.6
118,31205,0.0,,-0.472476,0.05,233.81,142.8
119,31999,0.49479,,-0.021553,0.05,324.54,145.3
120,32203,0.16379,0.39,-0.345971,0.05,43.46,150.0
121,32759,0.32298,,-0.076986,0.05,309.33,151.8
122,33002,0.38235,,0.054772,0.05,301.81,152.6
123,33397,0.13253,,-0.420669,0.05,300.72,153.9
124,33810,0.32479,,0.025156,0.05,316.66,155.2
125,34010,0.47273,,0.581599,0.05,294.91,155.9
126,34143,0.23729,,0.000689,0.05,282.78,156.3
127,34343,0.10256,,-0.286332,0.05,288.56,157.0
128,34817,0.27326,,0.224706,0.05,317.69,158.5
129,35049,0.15842,,-0.187317,0.05,298.41,159.3
130,35381,0.27027,0.4725,0.02132,0.05,60.93,164.8
131,35812,0.21429,,0.09333,0.05,298.19,166.2
132,36325,0.28758,,0.087004,0.05,321.32,167.8
133,36642,0.29592,,-0.155166,0.05,295.73,168.9
134,36718,0.09259,,-0.041557,0.05,252.19,169.2
135,36929,0.05525,,-0.154458,0.05,295.88,169.9
136,37140,0.31818,,0.26279,0.05,296.6,170.6
137,37498,0.23729,,-0.041753,0.05,291.11,171.9
138,38065,0.24713,,0.071816,0.05,321.0,173.6
139,38183,0.71429,,1.839761,0.05,277.28,174.1
140,38610,0.16062,0.315,0.056528,0.05,84.98,179.1
141,38768,0.6,,0.920095,0.05,292.8,179.6
142,38904,0.2,,-0.126019,0.05,288.38,180.1
143,39011,0.11111,,-0.173433,0.05,281.06,180.5
144,39356,0.11798,,-0.288462,0.05,313.77,181.6
145,39394,0.0,,0.212537,0.05,248.94,181.7
146,39749,0.31132,,-0.20293,0.05,308.18,182.9
147,40310,0.3012,,-0.028769,0.05,316.96,184.7
148,40909,0.26842,,-0.289734,0.05,307.61,186.6
149,41312,0.12865,,-0.267756,0.05,285.71,188.0
150,41431,0.03636,0.24500000000000002,0.199296,0.05,32.09,191.8
151,41544,0.01183,,0.291886,0.05,310.25,192.1
152,41674,0.41176,,0.924124,0.05,281.47,192.6
153,41808,0.07317,,0.374113,0.05,286.21,193.1
154,42411,0.26904,,0.402097,0.05,310.11,195.0
155,42532,0.53333,,1.146931,0.05,274.73,195.4
156,42646,0.10769,,-0.344676,0.05,266.77,195.9
157,42921,0.31868,,0.318403,0.05,299.17,196.8
158,43117,0.05435,,-0.196461,0.05,319.5,197.4
159,43315,0.72093,,1.007118,0.05,300.62,198.1
160,43513,0.11111,0.21749999999999997,-0.29124,0.05,51.07,202.0
161,43965,0.22785,,-0.225357,0.05,308.04,203.4
162,44080,0.15385,,-0.327735,0.05,268.87,203.9
163,44244,0.69444,,1.274547,0.05,305.18,204.4
164,44497,0.11504,,-0.459618,0.05,285.95,205.3
165,44680,0.18085,,-0.163165,0.05,297.98,205.9
166,44910,0.61111,,0.859148,0.05,296.84,206.7
167,45053,0.29268,,-0.191303,0.05,288.23,207.2
168,45172,0.43333,,0.411783,0.05,268.98,207.6
169,45595,0.69892,,0.909265,0.05,309.72,209.0
170,45823,0.2716,0.22999999999999998,0.097897,0.05,56.76,213.0
171,46020,0.58696,,0.578726,0.05,299.88,213.7
172,46391,0.34286,,-0.039873,0.05,307.86,214.9
173,46927,0.25153,,-0.392875,0.05,324.67,216.5
174,47474,0.18229,,-0.327875,0.05,299.68,218.4
175,47821,0.1466,,-0.320714,0.05,331.99,219.4
176,48017,0.65909,,0.985079,0.05,288.25,220.1
177,48382,0.22835,,-0.114812,0.05,300.18,221.3
178,48718,0.55952,,0.617343,0.05,306.53,222.4
179,49316,0.34302,,0.01154,0.05,317.38,224.3
180,49593,0.10738,0.3675,-0.308945,0.05,49.17,229.9
181,49738,0.10667,,-0.167632,0.05,288.79,230.4
182,50018,0.09694,,-0.111045,0.05,306.34,231.4
183,50504,0.34228,,0.474177,0.05,312.9,232.9
184,50591,0.00752,,0.171266,0.05,264.85,233.2
185,50680,0.18605,,-0.005477,0.05,257.07,233.6
186,50934,0.10638,,0.157999,0.05,296.94,234.5
187,51212,0.07843,,0.07273,0.05,316.62,235.3
188,51339,0.00694,,-0.043513,0.05,297.04,235.8
189,51440,0.34375,,0.712008,0.05,267.72,236.1
190,51776,0.3494,0.24250000000000002,0.142744,0.05,75.11,240.6
191,52023,0.06286,,-0.269209,0.05,288.69,241.5
192,52487,0.20833,,-0.225124,0.05,302.85,243.0
193,52901,0.15882,,-0.273005,0.05,314.18,244.3
194,53215,0.07407,,-0.363387,0.05,321.2,245.3
195,53494,0.3375,,0.375551,0.05,302.83,246.2
196,53900,0.11258,,-0.304018,0.05,291.42,247.6
197,54125,0.14655,,0.173652,0.05,307.96,248.4
198,54355,0.19417,,0.089983,0.05,289.69,249.2
199,54624,0.41935,,0.419715,0.05,299.18,250.1
200,54713,0.58333,0.21749999999999997,2.016286,0.05,25.99,253.5
201,55367,0.35196,,0.263288,0.05,321.5,255.5
202,55845,0.23034,,-0.01728,0.05,308.49,257.1
203,56002,0.4186,,0.253304,0.05,285.12,257.6
204,56171,0.01754,,-0.382998,0.05,284.89,258.2
205,56242,0.15152,,-0.248501,0.05,240.29,258.5
206,56386,0.58333,,0.712203,0.05,285.3,259.0
207,56954,0.32812,,-0.181947,0.05,318.71,260.8
208,57136,0.12222,,-0.659056,0.05,278.67,261.5
209,57236,0.30556,,-0.050889,0.05,266.84,261.9
210,57288,0.18519,0.2125,-0.030858,0.05,15.61,265.2
211,57807,0.26705,,-0.088206,0.05,309.0,266.9
212,58025,0.26316,,-0.158439,0.05,293.33,267.6
213,58202,0.34,,0.245985,0.05,286.15,268.2
214,58272,0.36,,0.818342,0.05,244.51,268.5
215,58841,0.31765,,0.390746,0.05,317.23,270.3
216,59162,0.23276,,0.072146,0.05,315.32,271.3
217,59169,0.0,,0.423827,0.05,250.27,271.4
218,59375,0.03704,,-0.1359,0.05,310.37,272.0
219,59539,0.67568,,1.084371,0.05,290.16,272.6
220,59547,0.0,0.21000000000000002,0.076688,0.05,2.62,275.7
221,59852,0.13386,,-0.089295,0.05,309.84,276.6
222,60310,0.24691,,-0.130972,0.05,311.05,278.1
223,60419,0.05714,,-0.095556,0.05,273.16,278.5
224,60491,0.0,,-0.157128,0.05,252.48,278.8
225,60775,0.83333,,1.836722,0.05,318.59,279.7
226,61531,0.4359,,0.760119,0.05,322.81,282.1
227,61673,0.01105,,0.3065,0.05,297.59,282.5
228,61979,0.11243,,-0.047731,0.05,315.94,283.5
229,62457,0.16327,,-0.063343,0.05,308.57,285.1
230,62609,0.04167,0.2225,0.194484,0.05,42.08,288.7
231,62761,0.14085,,0.160264,0.05,276.05,289.2
232,63452,0.35079,,0.139539,0.05,304.06,291.5
233,63652,0.14423,,-0.204234,0.05,293.29,292.2
234,64092,0.12821,,-0.108399,0.05,300.42,293.7
235,64277,0.19231,,-0.000379,0.05,292.8,294.3
236,64871,0.55,,0.573413,0.05,330.6,296.1
237,65196,0.61644,,0.855199,0.05,314.31,297.1
238,65701,0.32099,,-0.025463,0.05,318.56,298.7
239,65935,0.16296,,-0.367035,0.05,281.23,299.6
240,66538,0.31138,0.2475,-0.175883,0.05,114.89,304.8
241,66749,0.0202,,-0.112851,0.05,304.87,305.5
242,66916,0.12987,,-0.013594,0.05,294.67,306.1
243,67235,0.63768,,0.84205,0.05,310.44,307.1
244,67316,0.34783,,0.21938,0.05,259.4,307.4
245,67624,0.13018,,-0.127351,0.05,315.23,308.4
246,67961,0.12805,,-0.005023,0.05,316.42,309.5
247,68352,0.06383,,-0.025163,0.05,312.87,310.7
248,68634,0.09137,,0.186806,0.05,311.65,311.6
249,69189,0.26633,0.21749999999999997,0.258712,0.05,113.99,316.5
